z,rx,ry
-26.944,25.0,25.0
-26.088635,25.465855,25.072455
-25.23327,25.940391,25.145119
-24.377905,26.423769,25.217994
-23.52254,26.916155,25.291081
-22.667175,27.417716,25.364379
-21.81181,27.928623,25.43789
-20.956444,28.449051,25.511613
-20.101079,28.979176,25.585551
-19.245714,29.51918,25.659702
-18.390349,30.069246,25.734069
-17.534984,30.629563,25.808651
-16.679619,31.20032,25.883449
-15.824254,31.781713,25.958464
-14.968889,32.37394,26.033697
-14.113524,32.977203,26.109147
-13.258159,33.591706,26.184816
-12.402794,34.217661,26.260705
-11.547429,34.85528,26.336813
-10.692063,35.50478,26.413142
-9.836698,36.166383,26.489692
-8.981333,36.840315,26.566464
-8.125968,37.526805,26.643459
-7.270603,38.226087,26.720676
-6.415238,38.938399,26.798118
-5.559873,39.663985,26.875784
-4.704508,40.403092,26.953675
-3.849143,41.155971,27.031791
-2.993778,41.92288,27.110135
-2.138413,42.704079,27.188705
-1.283048,43.499836,27.267503
-0.427683,44.31042,27.346529
0.427683,45.13611,27.425784
1.283048,45.977185,27.505269
2.138413,46.833933,27.584985
2.993778,47.706646,27.664931
3.849143,48.595621,27.745109
4.704508,49.501162,27.825519
5.559873,50.423576,27.906163
6.415238,51.36318,27.98704
7.270603,52.320291,28.068152
8.125968,53.295238,28.149498
8.981333,54.288352,28.231081
9.836698,55.299972,28.3129
10.692063,56.330443,28.394956
11.547429,57.380116,28.47725
12.402794,58.449349,28.559782
13.258159,59.538505,28.642553
14.113524,60.647958,28.725565
14.968889,61.778084,28.808817
15.824254,62.929269,28.89231
16.679619,64.101906,28.976045
17.534984,65.296394,29.060023
18.390349,66.51314,29.144245
19.245714,67.752559,29.22871
20.101079,69.015074,29.31342
20.956444,70.301115,29.398376
21.81181,71.61112,29.483578
22.667175,72.945536,29.569027
23.52254,74.304818,29.654723
24.377905,75.689429,29.740668
25.23327,77.099841,29.826862
26.088635,78.536534,29.913306
26.944,80.0,30.0
