z,rx,ry
0.0,25.0,25.0
0.654545,30.044717,28.468243
1.309091,32.537859,30.182278
1.963636,34.550836,31.5662
2.618182,36.303367,32.771065
3.272727,37.882657,33.856826
3.927273,39.333753,34.854455
4.581818,40.68311,35.782138
5.236364,41.947433,36.651361
5.890909,43.13777,37.469717
6.545455,44.261696,38.242416
7.2,45.324601,38.973163
7.854545,46.330513,39.664728
8.509091,47.282635,40.319312
9.163636,48.183711,40.938801
9.818182,49.036261,41.524929
10.472727,49.842728,42.079375
11.127273,50.605556,42.60382
11.781818,51.32721,43.099957
12.436364,52.010155,43.569482
13.090909,52.65681,44.014057
13.745455,53.269479,44.435267
14.4,53.850283,44.83457
15.054545,54.401091,45.21325
15.709091,54.923462,45.57238
16.363636,55.418619,45.9128
17.018182,55.887433,46.23511
17.672727,56.330448,46.539683
18.327273,56.74792,46.826695
18.981818,57.139888,47.096173
19.636364,57.506248,47.348046
20.290909,57.846854,47.582212
20.945455,58.161601,47.798601
21.6,58.450515,47.997229
22.254545,58.713828,48.178257
22.909091,58.952036,48.342025
23.563636,59.165936,48.489081
24.218182,59.356637,48.620188
24.872727,59.525557,48.736321
25.527273,59.674388,48.838642
26.181818,59.805044,48.928468
26.836364,59.919591,49.007219
27.490909,60.020167,49.076365
28.145455,60.108894,49.137364
28.8,60.187789,49.191605
29.454545,60.258687,49.240347
30.109091,60.323175,49.284683
30.763636,60.382544,49.325499
31.418182,60.437765,49.363463
32.072727,60.489491,49.399025
32.727273,60.538077,49.432428
33.381818,60.583618,49.463737
34.036364,60.625998,49.492873
34.690909,60.664947,49.519651
35.345455,60.700088,49.543811
36.0,60.730978,49.565047
