parameter,value
waveguide_type,tritonia_m
throat_radius,25.0
mouth_width,130.0
mouth_height,105.0
depth,36.0
wall_thickness,3.0
curve_blend,0.35
throat_angle,10.0
term_s_base,0.7
term_s_cos2,0.2
term_n,3.7
term_q,0.992
morph_rate,3.0
morph_corner_radius,18.0
