z,rx,ry
0.0,25.0,25.0
0.654545,25.438118,25.339529
1.309091,25.883914,25.68367
1.963636,26.337522,26.032484
2.618182,26.79908,26.386035
3.272727,27.268727,26.744388
3.927273,27.746604,27.107608
4.581818,28.232855,27.475761
5.236364,28.727628,27.848914
5.890909,29.231072,28.227135
6.545455,29.743338,28.610493
7.2,30.264582,28.999056
7.854545,30.79496,29.392898
8.509091,31.334633,29.792087
9.163636,31.883764,30.196699
9.818182,32.442518,30.606805
10.472727,33.011064,31.022481
11.127273,33.589574,31.443803
11.781818,34.178222,31.870846
12.436364,34.777186,32.30369
13.090909,35.386647,32.742411
13.745455,36.006788,33.187092
14.4,36.637797,33.637811
15.054545,37.279864,34.094652
15.709091,37.933183,34.557697
16.363636,38.597952,35.027031
17.018182,39.27437,35.502739
17.672727,39.962642,35.984907
18.327273,40.662977,36.473624
18.981818,41.375584,36.968979
19.636364,42.10068,37.471061
20.290909,42.838482,37.979962
20.945455,43.589215,38.495774
21.6,44.353104,39.018591
22.254545,45.13038,39.548509
22.909091,45.921277,40.085624
23.563636,46.726035,40.630034
24.218182,47.544896,41.181837
24.872727,48.378107,41.741134
25.527273,49.22592,42.308028
26.181818,50.08859,42.88262
26.836364,50.966379,43.465016
27.490909,51.85955,44.055322
28.145455,52.768375,44.653645
28.8,53.693126,45.260093
29.454545,54.634083,45.874778
30.109091,55.59153,46.497811
30.763636,56.565756,47.129306
31.418182,57.557055,47.769377
32.072727,58.565727,48.418141
32.727273,59.592075,49.075716
33.381818,60.636409,49.742221
34.036364,61.699046,50.417778
34.690909,62.780304,51.102511
35.345455,63.880512,51.796542
36.0,65.0,52.5
