z,rx,ry
0.0,15.0,15.0
0.818182,15.405289,15.345583
1.636364,15.821528,15.699129
2.454545,16.249014,16.060819
3.272727,16.68805,16.430843
4.090909,17.138949,16.809391
4.909091,17.60203,17.196661
5.727273,18.077624,17.592853
6.545455,18.566068,17.998173
7.363636,19.067709,18.412831
8.181818,19.582904,18.837043
9.0,20.112019,19.271027
9.818182,20.655431,19.715011
10.636364,21.213525,20.169223
11.454545,21.786699,20.633899
12.272727,22.375359,21.109282
13.090909,22.979924,21.595616
13.909091,23.600825,22.093155
14.727273,24.238501,22.602157
15.545455,24.893407,23.122886
16.363636,25.566009,23.655612
17.181818,26.256783,24.200611
18.0,26.966222,24.758166
18.818182,27.694829,25.328567
19.636364,28.443122,25.912109
20.454545,29.211634,26.509096
21.272727,30.00091,27.119836
22.090909,30.811512,27.744647
22.909091,31.644016,28.383853
23.727273,32.499014,29.037786
24.545455,33.377113,29.706785
25.363636,34.278937,30.391196
26.181818,35.205129,31.091376
27.0,36.156345,31.807687
27.818182,37.133262,32.540501
28.636364,38.136575,33.290198
29.454545,39.166996,34.057167
30.272727,40.225259,34.841807
31.090909,41.312116,35.644524
31.909091,42.428338,36.465734
32.727273,43.57472,37.305865
33.545455,44.752076,38.165351
34.363636,45.961243,39.044638
35.181818,47.203082,39.944184
36.0,48.478474,40.864453
36.818182,49.788326,41.805925
37.636364,51.133569,42.769088
38.454545,52.515159,43.75444
39.272727,53.93408,44.762494
40.090909,55.391338,45.793773
40.909091,56.88797,46.848811
41.727273,58.425041,47.928156
42.545455,60.003641,49.032368
43.363636,61.624895,50.162019
44.181818,63.289953,51.317697
45.0,65.0,52.5
