z,rx,ry
-18.6625,25.0,25.0
-18.07004,25.349833,25.23434
-17.477579,25.704562,25.470877
-16.885119,26.064254,25.709631
-16.292659,26.42898,25.950623
-15.700198,26.79881,26.193874
-15.107738,27.173814,26.439405
-14.515278,27.554066,26.687237
-13.922817,27.93964,26.937393
-13.330357,28.330608,27.189894
-12.737897,28.727048,27.444761
-12.145437,29.129035,27.702017
-11.552976,29.536647,27.961685
-10.960516,29.949963,28.223787
-10.368056,30.369063,28.488346
-9.775595,30.794028,28.755384
-9.183135,31.224939,29.024926
-8.590675,31.66188,29.296994
-7.998214,32.104935,29.571613
-7.405754,32.55419,29.848805
-6.813294,33.009731,30.128596
-6.220833,33.471648,30.41101
-5.628373,33.940027,30.696071
-5.035913,34.414961,30.983804
-4.443452,34.896541,31.274234
-3.850992,35.38486,31.567386
-3.258532,35.880012,31.863286
-2.666071,36.382093,32.16196
-2.073611,36.8912,32.463434
-1.481151,37.407431,32.767733
-0.88869,37.930885,33.074885
-0.29623,38.461665,33.384916
0.29623,38.999872,33.697853
0.88869,39.54561,34.013724
1.481151,40.098985,34.332555
2.073611,40.660103,34.654375
2.666071,41.229073,34.979211
3.258532,41.806006,35.307093
3.850992,42.391011,35.638047
4.443452,42.984202,35.972104
5.035913,43.585695,36.309293
5.628373,44.195604,36.649642
6.220833,44.814047,36.993181
6.813294,45.441145,37.339941
7.405754,46.077018,37.689951
7.998214,46.721789,38.043241
8.590675,47.375583,38.399844
9.183135,48.038525,38.759789
9.775595,48.710744,39.123108
10.368056,49.39237,39.489832
10.960516,50.083534,39.859995
11.552976,50.784369,40.233626
12.145437,51.495012,40.610761
12.737897,52.215598,40.99143
13.330357,52.946269,41.375667
13.922817,53.687163,41.763507
14.515278,54.438426,42.154981
15.107738,55.200201,42.550126
15.700198,55.972635,42.948974
16.292659,56.755879,43.351561
16.885119,57.550083,43.757921
17.477579,58.3554,44.168091
18.07004,59.171987,44.582105
18.6625,60.0,45.0
